day,date
Mon,Jan 22
Wed,Jan 24
Mon,Jan 29
Wed,Jan 31
Mon,Feb 5
Wed,Feb 7
Mon,Feb 12
Wed,Feb 14
Mon,Feb 19
Wed,Feb 21
Mon,Feb 26
Wed,Feb 28
Mon,Mar 4
Wed,Mar 6
Mon,Mar 11
Wed,Mar 13
Mon,Mar 18
Wed,Mar 20
Mon,Mar 25
Wed,Mar 27
Mon,Apr 1
Wed,Apr 3
Mon,Apr 8
Wed,Apr 10
Mon,Apr 15
Wed,Apr 17
Mon,Apr 22
Wed,Apr 24
Mon,Apr 29
Wed,May 1
Mon,May 6
Mon,May 13
